番号,快い,嬉しい,美しい,新しい,日本的な,むなしい,都会的な,変化のある,秩序のある,安心な
56,0,0,0,1,-1,-2,1,1,1,1
57,1,2,1,1,-1,-2,-1,0,2,2
58,1,1,1,2,-1,-2,1,0,1,1
59,1,1,1,2,-1,-1,1,0,1,1
60,1,0,1,1,-1,0,1,0,2,1
61,1,0,2,2,-2,-2,2,1,1,2
62,1,0,1,2,0,0,1,0,1,1
63,0,0,1,2,-1,1,1,0,1,1
64,1,2,0,1,-1,0,2,1,1,2
65,1,1,0,2,-1,-1,2,1,2,2
66,0,0,1,1,-1,-1,1,0,0,1
67,0,0,1,1,-2,-2,1,1,1,2
68,2,1,2,2,-1,-1,2,0,1,1
69,1,0,1,0,1,-2,1,-1,2,0
70,0,0,0,0,0,2,2,-1,1,0
71,-1,0,0,0,0,2,1,-2,2,0
72,0,0,0,1,-1,0,1,-2,1,0
73,0,-1,0,1,1,-1,1,-2,2,0
74,1,-1,1,2,1,-1,2,-2,2,-1
75,1,0,1,2,-1,0,2,-2,2,1
76,0,0,0,0,-1,0,1,-1,1,0
77,1,0,1,1,-1,0,2,-2,2,1
78,0,0,0,1,-1,1,1,-1,2,-1
79,1,0,1,1,1,0,1,-2,2,0
80,0,0,0,1,-1,1,1,-1,2,0
81,1,0,0,0,0,1,2,-1,2,0
82,-1,1,0,0,0,0,2,-1,1,-2
83,1,0,0,1,0,0,1,-2,2,0
84,1,0,1,1,1,-1,1,-1,1,0
85,0,0,0,0,1,1,1,-2,2,0
86,1,0,2,0,0,-2,0,1,0,-1
87,1,0,2,-1,-2,-1,-1,2,-2,-2
88,2,1,1,1,0,2,-1,-1,-1,1
89,1,0,2,-1,-2,-2,-1,2,-2,-2
90,2,1,1,-1,0,2,-1,1,-1,-2
91,1,-2,1,0,-2,1,-2,-1,1,-2
92,2,1,1,0,-1,2,0,2,0,1
93,1,-2,1,0,-2,1,-2,-1,1,-2
94,1,-1,2,-1,0,1,-2,1,-1,-2
95,0,0,1,1,0,1,-2,-1,1,-1
96,1,-1,1,1,-1,-2,-1,1,-1,-1
97,1,1,2,1,0,2,-1,2,0,-2
98,1,-2,1,-1,-1,2,-1,1,0,-2
99,1,0,1,0,-1,2,-1,-1,1,-2
100,1,-2,1,-1,-1,1,-1,0,-1,-1
101,1,1,2,-1,0,1,-1,-1,0,0
102,0,-1,1,0,-1,-1,0,0,-1,-1
103,1,0,1,1,-1,-2,-1,1,-1,-1
104,2,1,1,0,-1,-2,-1,1,1,1
105,2,0,2,-1,0,1,-1,1,0,2
106,2,1,2,0,-1,-2,-1,2,-1,2
107,1,1,2,1,1,1,-1,0,-1,2
108,1,1,2,1,1,-2,-1,1,1,0
109,2,2,2,-1,1,-2,-2,0,-1,2
110,2,1,2,1,-1,0,0,2,1,1
111,2,2,1,-1,0,0,-2,-1,0,0
112,2,0,2,1,-1,1,0,1,-1,1
113,1,0,2,0,0,-1,0,0,0,1
114,1,1,1,1,0,-1,-1,1,0,1
115,2,1,1,-2,0,-2,0,1,0,0
116,2,1,1,0,-1,1,0,2,0,2
117,1,0,1,1,0,-2,0,0,-1,0
118,2,0,2,1,-1,-1,-1,0,0,1
119,2,1,1,0,-1,-1,-2,1,0,1
120,1,0,2,0,0,-2,-2,1,-1,-2
121,2,2,2,1,0,2,-1,1,-1,1
122,1,0,2,0,0,2,-2,1,0,-1
123,2,2,2,0,-1,-2,-2,2,-1,2
124,1,0,2,0,0,-1,-2,0,0,-1
125,1,0,2,0,2,-1,-2,-2,2,1
126,0,1,2,0,-1,1,0,0,2,1
127,0,0,1,0,0,1,-1,1,1,0
128,1,1,2,0,1,-1,1,0,2,2
129,1,0,2,0,0,1,-1,1,-1,-2
130,2,2,2,0,1,1,1,2,1,1
131,1,0,1,1,-1,1,0,1,0,-1
132,1,1,2,0,1,1,-1,0,0,-1
133,0,0,1,0,1,0,-1,1,1,0
134,1,0,1,0,-1,0,-1,-1,1,1
135,2,0,2,0,0,1,-1,1,0,-1
136,1,0,2,0,0,-1,-1,1,1,1
137,-1,0,-1,0,-2,0,-1,-1,-1,-1
138,0,0,0,-1,-1,0,-2,0,-1,-1
139,0,0,0,-1,-1,0,-2,-1,1,-2
140,0,0,1,-1,-1,-1,-2,1,-1,1
141,-1,-1,0,-2,-1,1,-2,-2,2,-2
142,0,0,0,-2,-2,2,-2,-2,1,-1
143,-2,-2,1,-2,-2,2,-2,-2,2,-2
144,0,-1,0,-1,-2,1,-2,1,-1,-1
145,0,0,-1,-1,-1,2,-2,-2,0,-1
146,1,-1,1,-1,0,-1,-2,0,-2,-2
147,0,0,0,0,0,0,-1,0,0,0
148,0,0,0,0,-1,0,-2,-1,-1,0
149,0,-1,0,0,0,-1,-1,-1,1,-1
150,0,-1,0,-1,0,1,-2,0,0,-2
151,-1,-1,-1,0,-1,1,-2,0,0,-1
152,0,0,0,0,-1,0,-2,-1,-1,-1
153,0,0,0,-1,-1,0,-1,-1,1,0
154,2,0,1,1,0,-1,-2,-2,2,1
155,1,0,0,1,1,-1,-2,-2,2,2
156,0,0,0,1,1,0,-2,-1,1,2
157,2,2,0,2,-1,-2,-2,-2,2,2
158,1,0,0,0,1,1,-2,-2,2,1
159,1,0,2,0,2,-1,-2,-2,2,2
160,1,0,1,0,0,1,-2,-2,2,1
161,2,-1,1,0,1,1,-1,1,0,1
162,1,0,0,0,0,-1,-2,-1,2,2
163,1,0,2,1,2,0,-2,-1,1,1
164,1,0,0,0,0,0,-1,-1,1,2
165,0,0,-1,0,0,0,-1,0,1,0
166,0,0,-1,0,1,1,-2,-1,1,1
167,1,0,0,0,0,0,-1,-1,2,1
168,0,0,0,1,0,0,-2,-1,1,1
169,1,0,-1,0,0,1,-1,-1,1,2
170,2,1,1,-1,1,-1,-2,-2,2,1
